circuitId,circuitName,country,lat,locality,long,url
adelaide,Adelaide Street Circuit,Australia,-34.9272,Adelaide,138.617,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit
ain-diab,Ain Diab,Morocco,33.5786,Casablanca,-7.6875,https://en.wikipedia.org/wiki/Ain-Diab_Circuit
aintree,Aintree,UK,53.4769,Liverpool,-2.94056,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
albert_park,Albert Park Grand Prix Circuit,Australia,-37.8497,Melbourne,144.968,https://en.wikipedia.org/wiki/Albert_Park_Circuit
americas,Circuit of the Americas,USA,30.1328,Austin,-97.6411,https://en.wikipedia.org/wiki/Circuit_of_the_Americas
anderstorp,Scandinavian Raceway,Sweden,57.2653,Anderstorp,13.6042,https://en.wikipedia.org/wiki/Anderstorp_Raceway
avus,AVUS,Germany,52.4806,Berlin,13.2514,https://en.wikipedia.org/wiki/AVUS
bahrain,Bahrain International Circuit,Bahrain,26.0325,Sakhir,50.5106,https://en.wikipedia.org/wiki/Bahrain_International_Circuit
baku,Baku City Circuit,Azerbaijan,40.3725,Baku,49.8533,https://en.wikipedia.org/wiki/Baku_City_Circuit
boavista,Circuito da Boavista,Portugal,41.1705,Oporto,-8.67325,https://en.wikipedia.org/wiki/Circuito_da_Boavista
brands_hatch,Brands Hatch,UK,51.3569,Kent,0.263056,https://en.wikipedia.org/wiki/Brands_Hatch
bremgarten,Circuit Bremgarten,Switzerland,46.9589,Bern,7.40194,https://en.wikipedia.org/wiki/Circuit_Bremgarten
buddh,Buddh International Circuit,India,28.3487,Uttar Pradesh,77.5331,https://en.wikipedia.org/wiki/Buddh_International_Circuit
catalunya,Circuit de Barcelona-Catalunya,Spain,41.57,Barcelona,2.26111,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
charade,Charade Circuit,France,45.7472,Clermont-Ferrand,3.03889,https://en.wikipedia.org/wiki/Circuit_de_Charade
dallas,Fair Park,USA,32.7774,Dallas,-96.7587,https://en.wikipedia.org/wiki/Fair_Park
detroit,Detroit Street Circuit,USA,42.3298,Detroit,-83.0401,https://en.wikipedia.org/wiki/Detroit_street_circuit
dijon,Dijon-Prenois,France,47.3625,Dijon,4.89913,https://en.wikipedia.org/wiki/Dijon-Prenois
donington,Donington Park,UK,52.8306,Castle Donington,-1.37528,https://en.wikipedia.org/wiki/Donington_Park
essarts,Rouen-Les-Essarts,France,49.3306,Rouen,1.00458,https://en.wikipedia.org/wiki/Rouen-Les-Essarts
estoril,Autódromo do Estoril,Portugal,38.7506,Estoril,-9.39417,https://en.wikipedia.org/wiki/Circuito_do_Estoril
fuji,Fuji Speedway,Japan,35.3717,Oyama,138.927,https://en.wikipedia.org/wiki/Fuji_Speedway
galvez,Autódromo Juan y Oscar Gálvez,Argentina,-34.6943,Buenos Aires,-58.4593,https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez
george,Prince George Circuit,South Africa,-33.0486,Eastern Cape Province,27.8736,https://en.wikipedia.org/wiki/Prince_George_Circuit
hockenheimring,Hockenheimring,Germany,49.3278,Hockenheim,8.56583,https://en.wikipedia.org/wiki/Hockenheimring
hungaroring,Hungaroring,Hungary,47.5789,Budapest,19.2486,https://en.wikipedia.org/wiki/Hungaroring
imola,Autodromo Enzo e Dino Ferrari,Italy,44.3439,Imola,11.7167,https://en.wikipedia.org/wiki/Imola_Circuit
indianapolis,Indianapolis Motor Speedway,USA,39.795,Indianapolis,-86.2347,https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
interlagos,Autódromo José Carlos Pace,Brazil,-23.7036,São Paulo,-46.6997,https://en.wikipedia.org/wiki/Interlagos_Circuit
istanbul,Istanbul Park,Turkey,40.9517,Istanbul,29.405,https://en.wikipedia.org/wiki/Istanbul_Park
jacarepagua,Autódromo Internacional Nelson Piquet,Brazil,-22.9756,Rio de Janeiro,-43.395,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
jarama,Jarama,Spain,40.6171,Madrid,-3.58558,https://en.wikipedia.org/wiki/Circuito_del_Jarama
jeddah,Jeddah Corniche Circuit,Saudi Arabia,21.6319,Jeddah,39.1044,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit
jerez,Circuito de Jerez,Spain,36.7083,Jerez de la Frontera,-6.03417,https://en.wikipedia.org/wiki/Circuito_de_Jerez
kyalami,Kyalami,South Africa,-25.9894,Midrand,28.0767,https://en.wikipedia.org/wiki/Kyalami
las_vegas,Las Vegas Street Circuit,USA,36.1162,Nevada,-115.174,https://en.wikipedia.org/wiki/Las_Vegas_Strip_Circuit
lemans,Le Mans,France,47.95,Le Mans,0.224231,https://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit
long_beach,Long Beach,USA,33.7651,California,-118.189,"https://en.wikipedia.org/wiki/Long_Beach,_California"
losail,Lusail International Circuit,Qatar,25.49,Lusail,51.4542,https://en.wikipedia.org/wiki/Lusail_International_Circuit
madring,Madring,Spain,40.46528,Madrid,-3.61528,https://en.wikipedia.org/wiki/Madring
magny_cours,Circuit de Nevers Magny-Cours,France,46.8642,Magny Cours,3.16361,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
marina_bay,Marina Bay Street Circuit,Singapore,1.2914,Marina Bay,103.864,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
miami,Miami International Autodrome,USA,25.9581,Miami,-80.2389,https://en.wikipedia.org/wiki/Miami_International_Autodrome
monaco,Circuit de Monaco,Monaco,43.7347,Monte Carlo,7.42056,https://en.wikipedia.org/wiki/Circuit_de_Monaco
monsanto,Monsanto Park Circuit,Portugal,38.7197,Lisbon,-9.20306,https://en.wikipedia.org/wiki/Circuito_de_Monsanto
montjuic,Montjuïc,Spain,41.3664,Barcelona,2.15167,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
